"locale","skeleton_0","pattern_0","skeleton_1","pattern_1","skeleton_2","pattern_2","skeleton_3","pattern_3","skeleton_4","pattern_4"
"mg","MMMMy","MMMM y","EMMMMdy","EEE d MMMM y","EMMMd","EEE d MMM","Hm","HH:mm","hm","h:mm a"
"mk","MMMMy","MMMM y 'г'.","EMMMMdy","EEE, d MMMM y 'г'.","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"ml","MMMMy","y MMMM","EMMMMdy","y, MMMM d, EEE","EMMMd","MMM d, EEE","Hm","HH:mm","hm","h:mm a"
"mn","MMMMy","y MMMM","EMMMMdy","EEE, y MMMM d","EMMMd","EEE MMM d","Hm","HH:mm","hm","h:mm a"
"mr","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM, y","EMMMd","EEE, d MMM","Hm","H:mm","hm","h:mm a"
"ms","MMMMy","y MMMM","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"mt","MMMMy","MMMM y","EMMMMdy","EEE, d 'ta'’ MMMM y","EMMMd","EEE, d 'ta'’ MMM","Hm","HH:mm","hm","h:mm a"
"my","MMMMy","MMMM y","EMMMMdy","EEE d MMMM y","EMMMd","MMM d ရက် EEEနေ့","Hm","HH:mm","hm","a h:mm"
"nb","MMMMy","MMMM y","EMMMMdy","EEE d. MMMM y","EMMMd","EEE d. MMM","Hm","HH:mm","hm","h:mm a"
"nd","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, MMM d","Hm","HH:mm","hm","h:mm a"
"ne","MMMMy","y MMMM","EMMMMdy","y MMMM d, EEE","EMMMd","MMM d, EEE","Hm","HH:mm","hm","h:mm a"
"nl","MMMMy","MMMM y","EMMMMdy","EEE d MMMM y","EMMMd","EEE d MMM","Hm","HH:mm","hm","h:mm a"
"nn","MMMMy","MMMM y","EMMMMdy","EEE d. MMMM y","EMMMd","EEE d. MMM","Hm","HH:mm","hm","h:mm a"
"om","MMMMy","MMMM y","EMMMMdy","EEE, MMMM d, y","EMMMd","MMM d, EEE","Hm","HH:mm","hm","h:mm a"
"or","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","MMM d, EEE","Hm","HH:mm","hm","h:mm a"
"os","MMMMy","y MMMM","EMMMMdy","EEE, d MMMM, y 'аз'","EMMMd","ccc, d MMM","Hm","HH:mm","hm","h:mm a"
"pa","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"pa-rPK","MMMMy","y MMMM","EMMMMdy","y MMMM d, EEE","EMMMd","MMM d, EEE","Hm","HH:mm","hm","h:mm a"
"pl","MMMMy","LLLL y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"ps","MMMMy","د y د MMMM","EMMMMdy","EEE د y د MMMM d","EMMMd","MMM d, EEE","Hm","H:mm","hm","h:mm a"
"pt","MMMMy","MMMM 'de' y","EMMMMdy","EEE, d 'de' MMMM 'de' y","EMMMd","EEE, d 'de' MMM","Hm","HH:mm","hm","h:mm a"
"pt-rAO","MMMMy","MMMM 'de' y","EMMMMdy","ccc, d 'de' MMMM 'de' y","EMMMd","EEE, d/MM","Hm","HH:mm","hm","h:mm a"
"pt-rCH","MMMMy","MMMM 'de' y","EMMMMdy","ccc, d 'de' MMMM 'de' y","EMMMd","EEE, d/MM","Hm","HH:mm","hm","h:mm a"
"pt-rCV","MMMMy","MMMM 'de' y","EMMMMdy","ccc, d 'de' MMMM 'de' y","EMMMd","EEE, d/MM","Hm","HH:mm","hm","h:mm a"
